program_id,datetime,star,user,result,time,memory,language,problem_code,uses recursion,uses iteration
34894942,08:32 AM 01/07/20,2,vijeta0104,wrong answer,0.00,9.2M,C,ECJN202,0,0
34895006,08:44 AM 01/07/20,2,vijeta0104,wrong answer,0.00,9.2M,C,ECJN202,0,0
34895013,08:45 AM 01/07/20,2,vijeta0104,wrong answer,0.00,9.2M,C,ECJN202,0,0
34895026,08:48 AM 01/07/20,2,vijeta0104,accepted,0.00,9.2M,C,ECJN202,0,0
34895068,08:54 AM 01/07/20,3,bionic_coder,accepted,0.00,14.9M,C++14,ECJN202,false,true
34895302,09:32 AM 01/07/20,3,vinayak_sharma,wrong answer,0.02,17.6M,PYTH 3.6,ECJN202,0,0
34895325,09:35 AM 01/07/20,3,vinayak_sharma,wrong answer,0.01,17.6M,PYTH 3.6,ECJN202,0,0
34895331,09:35 AM 01/07/20,3,vinayak_sharma,wrong answer,0.01,17.6M,PYTH 3.6,ECJN202,0,0
34895334,09:36 AM 01/07/20,3,vinayak_sharma,wrong answer,0.01,17.6M,PYTH 3.6,ECJN202,0,0
34895349,09:39 AM 01/07/20,3,vinayak_sharma,accepted,0.00,17.6M,PYTH 3.6,ECJN202,0,0
34896162,11:01 AM 01/07/20,0,vjudge5,accepted,0.00,14.9M,C++14,ECJN202,false,true
34896174,11:02 AM 01/07/20,0,vjudge6,wrong answer,0.00,6.7M,C++17,ECJN202,0,0
34896177,11:02 AM 01/07/20,0,vjudge11,wrong answer,0.00,14.9M,C++14,ECJN202,false,true
34896181,11:02 AM 01/07/20,0,vjudge9,accepted,0.00,5.8M,C++17,ECJN202,0,0
34896183,11:02 AM 01/07/20,0,vjudge5,wrong answer,0.00,14.9M,C++14,ECJN202,false,true
34896191,11:03 AM 01/07/20,0,vjudge1,accepted,0.00,15M,C++14,ECJN202,false,true
34896192,11:03 AM 01/07/20,0,vjudge3,accepted,0.00,5.8M,C++17,ECJN202,0,0
34896193,11:03 AM 01/07/20,0,vjudge8,accepted,0.00,6M,C++17,ECJN202,0,0
34896195,11:03 AM 01/07/20,0,vjudge4,accepted,0.00,2.4M,C++17,ECJN202,0,0
34896198,11:03 AM 01/07/20,0,vjudge11,accepted,0.00,5.8M,C++17,ECJN202,0,0
34896199,11:03 AM 01/07/20,0,vjudge6,accepted,0.00,15.5M,C++14,ECJN202,false,true
34896200,11:03 AM 01/07/20,0,vjudge2,accepted,0.00,6.8M,C++17,ECJN202,0,0
34896202,11:03 AM 01/07/20,0,vjudge7,accepted,0.00,5.8M,C++17,ECJN202,0,0
34896209,11:03 AM 01/07/20,0,vjudge1,accepted,0.00,5.8M,C++17,ECJN202,0,0
34896210,11:03 AM 01/07/20,0,vjudge3,wrong answer,0.00,5.8M,C++17,ECJN202,0,0
34896212,11:03 AM 01/07/20,0,vjudge5,accepted,0.00,5.8M,C++17,ECJN202,0,0
34896216,11:03 AM 01/07/20,0,vjudge11,accepted,0.00,6M,C++17,ECJN202,0,0
34896218,11:03 AM 01/07/20,0,vjudge4,wrong answer,0.00,5.8M,C++17,ECJN202,0,0
34896221,11:04 AM 01/07/20,0,vjudge6,accepted,0.00,14.9M,C++14,ECJN202,false,true
34896225,11:04 AM 01/07/20,0,vjudge2,accepted,0.00,15.6M,C++14,ECJN202,false,true
34896226,11:04 AM 01/07/20,0,vjudge9,accepted,0.00,14.9M,C++14,ECJN202,false,true
34896231,11:04 AM 01/07/20,0,vjudge5,accepted,0.00,14.9M,C++14,ECJN202,false,true
34896233,11:04 AM 01/07/20,0,vjudge11,accepted,0.00,5.8M,C++17,ECJN202,0,0
34896235,11:04 AM 01/07/20,0,vjudge1,wrong answer,0.00,14.9M,C++14,ECJN202,false,true
34896242,11:04 AM 01/07/20,0,vjudge9,wrong answer,0.00,14.9M,C++14,ECJN202,false,true
34896243,11:04 AM 01/07/20,0,vjudge2,wrong answer,0.00,5.8M,C++17,ECJN202,0,0
34896245,11:04 AM 01/07/20,0,vjudge6,accepted,0.00,14.9M,C++14,ECJN202,false,true
34896247,11:04 AM 01/07/20,0,vjudge8,accepted,0.00,5.8M,C++17,ECJN202,0,0
